id,createdAt,updatedAt,title,tldr,description,creatorId,votecount,comments
48,2022-08-28T09:35:16.422Z,2022-08-28T09:35:16.422Z,"Bot that populates when Lil Fu...","Unless you are tracking Lil Fu...","To increase visibility on how ...",0x2eE0485f71764bcD2062A84d9455688c581B90f8,-19,0
44,2022-08-24T20:30:24.743Z,2022-08-24T20:30:24.743Z,"Allow for voting on multiple p...","Currently, voting for proposal...","### ProblemVoting for propos...",0x72dabD33fe53f28FaAc3C804A562A2e3EC96573D,-21,0
23,2022-08-10T04:21:47.513Z,2022-08-10T04:21:47.513Z,"Nounish cubed juiceboxes ...","Cube shaped custom juice boxes...","Had a dream last night we made...",0xC06250B7ef8ab88Dc281b82db94C0fFf5bADd863,-24,0
40,2022-08-22T15:54:15.670Z,2022-08-22T15:54:15.670Z,"Bid 69.420 for Noun 415...","Noun 415 was the Noun that min...","It would have been fun to have...",0x2eE0485f71764bcD2062A84d9455688c581B90f8,-28,0
50,2022-08-29T22:03:54.677Z,2022-08-29T22:03:54.678Z,"Slowing down the mint time...","I'd like to propose slowing do...","I'd like to propose slowing do...",0x510E74e9Cdc8Dd5627D652a26E49480A81264ED5,-31,2
31,2022-08-17T01:06:31.050Z,2022-08-17T01:06:31.051Z,"Lil nouns in world cup ⚽ ⌐◨-◨...","We want to building a football...","Spooky club is a project conta...",0x8F4C87E30371Ee250C5ECa1fCFf33F534F2ece4a,-32,4
53,2022-08-30T06:03:53.475Z,2022-08-30T06:03:53.475Z,"The Lil Nouns Newsletter...","A weekly email newsletter that...","Information is disjointed acro...",0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537,-36,2
15,2022-08-03T13:05:46.529Z,2022-08-03T13:05:46.530Z,"use snapshot voting to determi...","The amounts for prop house are...","Using snapshot voting to deter...",0x9655667Ca1203E9A2c8ea2Ed59558F9AD0ACCc87,-39,2
38,2022-08-22T13:59:13.544Z,2022-08-22T13:59:13.545Z,"Switch to Collab Land...","Guild.xyz still ahs too many b...","TLDR is basically all i have...",0x2eE0485f71764bcD2062A84d9455688c581B90f8,-46,1
45,2022-08-26T19:48:36.120Z,2022-08-26T19:48:36.120Z,"AR / VR POD...","AR / VR fascinate me. Forming ...","Metaverse has become a meme un...",0x2eE0485f71764bcD2062A84d9455688c581B90f8,-53,0
35,2022-08-19T03:41:51.094Z,2022-08-19T03:41:51.095Z,"Lil Nouns feature in the Nouns...","Vote on Prop 130 to get Lil No...","Vote on Prop 130 to get Lil No...",0xd40B63bF04a44e43fBFE5784bCf22ACaAB34a180,-55,0
8,2022-08-02T12:47:57.537Z,2022-08-02T12:47:57.537Z,"Lil-noun exclusive traits...","Add Lil Nouns exclusive traits...","To create a unique aesthetic a...",0x6a024f521f83906671e1a23a8B6c560be7e980F4,-71,1
42,2022-08-23T03:01:26.238Z,2022-08-23T03:01:26.239Z,"Sponsor a team of Nounish prof...","Lil Nouns promotes inclusion, ...","Lil Sisters and Nouns Proposal...",0x8e777369b4Bd6fbbF20270dC8c599Ea11d919505,-84,2
34,2022-08-18T20:48:34.675Z,2022-08-18T20:48:34.675Z,"Sponsor a team of non-binary p...","Lil Nouns is investing in non-...","Lil Sisters and Nouns Proposal...",0x8e777369b4Bd6fbbF20270dC8c599Ea11d919505,-85,4
49,2022-08-28T12:47:10.223Z,2022-08-28T12:47:10.223Z,"Lil Nouns DAO invest in Sorare...","We should consider developing ...","We can invest approximately 50...",0x0C1CA53324a9B43E5468664562db592Ca6ef6efA,-95,3
36,2022-08-19T18:21:28.965Z,2022-08-19T18:21:28.966Z,"purchasing nice apes in bendda...","title says it all. what if we ...","As the ape liquidation is happ...",0x711E207B2fa8daceBb4D7cb9E4b0f77D98FAfA22,-123,0
20,2022-08-05T03:24:19.108Z,2022-08-05T03:24:19.109Z,"Solve cryptographic puzzles to...","What if you could win 5 ETH ($...","Are you smart? Do you like cry...",0x6C4cb3C4Da1CdC4B7B1F41099F6eacbd82D8F2d2,-128,2
46,2022-08-27T13:15:35.193Z,2022-08-27T13:15:35.194Z,"Accelerate Settlement Auctions...","If auction is not settled with...","To encourage rapid auction set...",0xD989842c7508B59D47861800B3EC2bE015Ba9DE1,-223,2
29,2022-08-14T23:42:37.648Z,2022-08-14T23:42:37.649Z,"LIL NOUNS ON THE GROUND- 6 Mon...","Lil Nouns OTG requests to mana...","Lil Nouns DAO funding Lil Noun...",0xf9d71b5fB8345F2508C1302a74d4362DEAb7D104,-233,0
10,2022-08-02T13:38:31.371Z,2022-08-02T13:38:31.372Z,"Live-action Movie Series Featu...","Animation promo is good...but ...","I (Con) have been an Advisor f...",0x2E2F6db34fFC3c7C99371886AB3410F8431f8691,-251,0
5,2022-08-02T05:44:32.751Z,2022-08-02T05:44:32.751Z,"Permissionless + animated trai...","Upgrade the protocol to allow ...","Animated traits: Introduce an...",0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb,-266,1
13,2022-08-02T21:47:39.428Z,2022-08-02T21:47:39.428Z,"Prop voting should be on the s...","Borrowing from Bancor and ApeC...","Problem:Right now, proposals ...",0x56383A5Dd01d413fb8B38F2D0FceF5F511F1Dbb9,-299,14
